drink,ingredient_number,ingredient,measure,category
Absinthe #2,5,wormwood,1,other
Absolut Evergreen,1,absolut citron,2/3 part,other
Absolut Evergreen,2,pisang ambon,1/3 part,other
Absolut Evergreen,3,ice,"cubes
",other
Absolut Evergreen,4,bitter lemon,"
",other
Absolut Sex,1,absolut kurant,3/4 oz,other
Absolut Sex,2,melon liqueur,3/4 oz,liqueur
Absolut Sex,3,cranberry juice,1 oz,juice
Absolut Sex,4,sprite,1 splash,other
Absolut Stress #2,1,absolut vodka,1 1/2 oz,vodka
Absolut Stress #2,2,peach schnapps,1/2 oz,schnapps
Absolut Stress #2,3,coconut liqueur,1/2 oz,liqueur
Absolut Stress #2,4,cranberry juice,1 1/2 oz,juice
Absolut Stress #2,5,pineapple juice,1 1/2 oz,juice
Absolut Summertime,1,absolut citron,1 1/2 oz,other
Absolut Summertime,2,sweet and sour,3/4 oz,other
Absolut Summertime,3,sprite,1/2 oz,other
Absolut Summertime,4,soda water,3 oz,other
Absolut Summertime,5,lemon,1 slice,other
Absolut limousine,1,absolut citron,2/3,other
Absolut limousine,2,lime juice,1/3,juice
Absolut limousine,3,ice,Fill with,other
Absolut limousine,4,tonic water,Top it up with,other
Absolutely Cranberry Smash,1,absolut vodka,2 oz,vodka
Absolutely Cranberry Smash,2,cranberry juice,4 oz,juice
Absolutely Cranberry Smash,3,ginger ale,2 oz,other
Absolutely Cranberry Smash,4,ice,Add,other
Absolutely Fabulous,1,vodka,1 shot,vodka
Absolutely Fabulous,2,cranberry juice,2 shots,juice
Absolutely Fabulous,3,champagne,Top up with,other
Absolutly Screwed Up,1,absolut citron,1 shot,other
Absolutly Screwed Up,2,orange juice,1 shot,juice
Absolutly Screwed Up,3,triple sec,1 shot,other
Absolutly Screwed Up,4,ginger ale,Fill to top,other
Acapulco,1,light rum,1 1/2 oz,rum
Acapulco,2,triple sec,1 1/2 tsp,other
Acapulco,3,lime juice,1 tblsp,juice
Acapulco,4,sugar,1 tsp,other
Acapulco,5,egg white,1,other
Acapulco,6,mint,1,other
Ace,1,gin,2 shots,other
Ace,2,grenadine,1/2 shot,other
Ace,3,heavy cream,1/2 shot,cream
Ace,4,milk,1/2 shot,other
Ace,5,egg white,1/2 Fresh,other
Adam,1,dark rum,2 oz,rum
Adam,2,lemon juice,1 oz,juice
Adam,3,grenadine,1 tsp,other
Adam & Eve,1,gin,1 shot,other
Adam & Eve,2,cognac,1 shot,other
Adam & Eve,3,creme de cassis,1 shot,other
Adam & Eve,4,lemon juice,1/8 shot,juice
Adam Bomb,1,rum,1 part,rum
Adam Bomb,2,vodka,1 part,vodka
Adam Bomb,3,tequila,1 part,other
Adam Bomb,4,triple sec,1/2 part,other
Adam Bomb,5,fruit,"
",other
Adam Bomb,6,ice,"
",other
Adam Bomb,7,salt,1-3 pint,other
Adam Sunrise,1,vodka,1/2,vodka
Adam Sunrise,2,lemonade,1/2 can,other
Adam Sunrise,3,water,1/2,other
Adam Sunrise,4,sugar,10 tsp,other
Addington,1,sweet vermouth,2 shots,other
Addington,2,dry vermouth,1 shot,other
