i,ingredient,drink,performance
64,ice,Frozen Daiquiri,184
65,rum,Adios Amigos Cocktail,187
65,rum,Orange Whip,187
65,rum,Rum Toddy,187
66,blue curacao,Bluebird,190
66,blue curacao,Flaming Lamborghini,190
66,blue curacao,The Evil Blue Thing,190
67,lemonade,Adam Sunrise,195
67,lemonade,Atomic Lokade,195
67,lemonade,Aztec Punch,195
67,lemonade,Blue Lagoon,195
67,lemonade,Shark Attack,195
68,southern comfort,A Piece of Ass,198
68,southern comfort,Alice in Wonderland,198
68,southern comfort,Bible Belt,198
69,sloe gin,Alabama Slammer,202
69,sloe gin,Blackthorn,202
69,sloe gin,Kool-Aid Shot,202
69,sloe gin,Sloe Gin Cocktail,202
70,wine,Archbishop,206
70,wine,Clove Cocktail,206
70,wine,Thriller,206
70,wine,Whisky Mac,206
71,absolut citron,Absolutly Screwed Up,209
71,absolut citron,Lemon Shot,209
71,absolut citron,New York Lemonade,209
72,cointreau,Cosmopolitan,213
72,cointreau,Cosmopolitan Martini,213
72,cointreau,Sidecar,213
72,cointreau,Zizi Coin-coin,213
73,grapefruit juice,Hemingway Special,216
73,grapefruit juice,Monkey Wrench,216
73,grapefruit juice,Sea breeze,216
74,nutmeg,Brandy Alexander,219
74,nutmeg,Quentin,219
74,nutmeg,Rum Milk Punch,219
75,egg,Brandy Flip,222
75,egg,Royal Fizz,222
75,egg,Royal Gin Fizz,222
76,port,Chicago Fizz,226
76,port,Japanese Fizz,226
76,port,Port Wine Cocktail,226
76,port,Port Wine Flip,226
77,sherry,Adonis Cocktail,230
77,sherry,Quarter Deck Cocktail,230
77,sherry,Sherry Eggnog,230
77,sherry,Sherry Flip,230
78,vanilla ice-cream,Baby Eskimo,233
78,vanilla ice-cream,Bailey's Dream Shake,233
78,vanilla ice-cream,Brandon and Will's Coke Float,233
79,angostura bitters,Abbey Martini,236
79,angostura bitters,Mojito #3,236
79,angostura bitters,Old Fashioned,236
80,tonic water,Absolut limousine,240
80,tonic water,Gin And Tonic,240
80,tonic water,Long vodka,240
80,tonic water,Vodka And Tonic,240
81,absolut vodka,Absolutely Cranberry Smash,243
81,absolut vodka,AT&T,243
81,absolut vodka,Lemon Drop,243
82,heavy cream,Ace,246
82,heavy cream,Godchild,246
82,heavy cream,Midnight Cowboy,246
83,olive,Highland Fling Cocktail,249
83,olive,Martini,249
83,olive,Vodka Martini,249
84,coffee liqueur,Black Russian,252
84,coffee liqueur,Jamaica Kiss,252
84,coffee liqueur,White Russian,252
85,spiced rum,Cream Soda,255
85,spiced rum,Happy Skipper,255
85,spiced rum,Orange Push-up,255
86,salt,Blue Margarita,257
86,salt,Salty Dog,257
87,vanilla extract,Coffee Liqueur,259
87,vanilla extract,Egg-Nog - Classic Cooked,259
88,red wine,New York Sour,261
88,red wine,Wine Punch,261
89,lemon-lime soda,National Aquarium,265
89,lemon-lime soda,Queen Charlotte,265
89,lemon-lime soda,Rum Cooler,265
89,lemon-lime soda,Wine Cooler,265
90,151 proof rum,Grim Reaper,267
90,151 proof rum,Texas Sling,267
91,kool-aid,Kool-Aid Slammer,270
91,kool-aid,Kool First Aid,270
91,kool-aid,Zippy's Revenge,270
92,everclear,Berry Deadly,273
92,everclear,Danbooka,273
92,everclear,Pink Penocha,273
93,wild turkey,252,276
93,wild turkey,ACID,276
93,wild turkey,Turkeyball,276
94,melon liqueur,Arizona Antifreeze,278
94,melon liqueur,Quick F**K,278
95,malibu rum,Grand Blue,281
95,malibu rum,Radioactive Long Island Iced Tea,281
95,malibu rum,Space Odyssey,281
96,creme de banane,A Splash of Nash,284
96,creme de banane,After sex,284
96,creme de banane,San Francisco,284
97,yoghurt,Lassi - Sweet,286
97,yoghurt,Lassi Raita,286
98,apple juice,Apello,288
98,apple juice,Pysch Vitamin Light,288
99,pineapple,Frozen Pineapple Daiquiri,290
99,pineapple,Grass Skirt,290
100,strawberries,Gin Squirt,292
100,strawberries,Strawberry Lemonade,292
101,banana,Banana Daiquiri,295
101,banana,Banana Milk Shake,295
101,banana,Banana Strawberry Shake Daiquiri-type,295
102,honey,Banana Strawberry Shake,298
102,honey,Strawberry Shivers,298
102,honey,Sweet Bananas,298
103,fruit,Adam Bomb,301
103,fruit,Fruit Shake,301
103,fruit,Yoghurt Cooler,301
104,strawberry schnapps,Affair,304
104,strawberry schnapps,Strawberry Daiquiri,304
104,strawberry schnapps,Strawberry Margarita,304
105,7-up,69 Special,306
105,7-up,Apricot punch,306
106,goldschlager,Big Red,308
106,goldschlager,Midnight Manx,308
107,jägermeister,Auburn Headbanger,312
107,jägermeister,Bob Marley,312
107,jägermeister,Freddy Kruger,312
107,jägermeister,Grizzly Bear,312
108,beer,Lunch Box,314
108,beer,Radler,314
109,root beer,Zambeer,317
109,root beer,Zenmeister,317
109,root beer,Zoksel,317
110,jack daniels,Applejack,319
110,jack daniels,Jackhammer,319
111,whipped cream,Jamaican Coffee,321
111,whipped cream,Tennesee Mud,321
112,cocoa powder,Microwave Hot Cocoa,324
112,cocoa powder,Mocha-Berry,324
112,cocoa powder,Nuked Hot Chocolate,324
113,egg yolk,Casino Royale,327
113,egg yolk,Egg Nog #4,327
113,egg yolk,Porto flip,327
114,orange peel,Gin Sling,329
114,orange peel,Manhattan,329
115,ginger,Kill the cold Smoothie,331
115,ginger,Pineapple Gingerale Smoothie,331
116,apple,Fruit Cooler,333
116,apple,Sangria - The World's Best,333
117,campari,Americano,335
117,campari,Negroni,335
118,lager,110 in the shade,337
118,lager,Campari Beer,337
119,cider,Amaretto Sunset,340
119,cider,Green Goblin,340
119,cider,Snake Bite (UK),340
120,chocolate syrup,Black Forest Shake,342
120,chocolate syrup,Egg Cream,342
121,anis,Turf Cocktail,344
121,anis,Tuxedo Cocktail,344
122,blackberry brandy,Allegheny,347
122,blackberry brandy,Jelly Bean,347
122,blackberry brandy,Rum Runner,347
123,butterscotch schnapps,Butter Baby,349
123,butterscotch schnapps,Mother's Milk,349
124,guinness stout,Black and Brown,351
124,guinness stout,Irish Russian,351
125,irish whiskey,Hot Creamy Bush,353
125,irish whiskey,Irish Coffee,353
126,surge,Bleeding Surgeon,355
126,surge,Zinger,355
127,mountain dew,Brain Fart,357
127,mountain dew,Gideon's Green Dinosaur,357
128,white rum,Caipirissima,359
128,white rum,Yellow Bird,359
129,tabasco sauce,Brave Bull Shooter,361
129,tabasco sauce,Tequila Surprise,361
130,chocolate ice-cream,Amaretto Shake,363
130,chocolate ice-cream,Chocolate Black Russian,363
131,godiva liqueur,Blind Russian,365
131,godiva liqueur,Sweet Tooth,365
132,peach nectar,Abilene,367
132,peach nectar,Bellini Martini,367
133,anisette,Shanghai Cocktail,369
133,anisette,Sol Y Sombra,369
134,apple brandy,Angel Face,371
134,apple brandy,Jack Rose Cocktail,371
135,applejack,A. J.,373
135,applejack,Applecar,373
136,berries,Apple Berry Smoothie,375
136,berries,Sunny Holiday Punch,375
137,drambuie,Loch Lomond,377
137,drambuie,Rusty Nail,377
138,ginger beer,A Furlong Too Late,379
138,ginger beer,Dark and Stormy,379
139,iced tea,Arizona Stingers,381
139,iced tea,Ice Pick #1,381
140,mango,Lassi - Mango,383
140,mango,Mango Orange Smoothie,383
141,orange spiral,Gin Cooler,385
141,orange spiral,Lone Tree Cooler,385
142,orgeat syrup,Mai Tai,387
142,orgeat syrup,Planter's Punch,387
143,ouzo,Surf City Lifesaver,389
143,ouzo,Zorbatini,389
144,pepsi cola,Mudslinger,391
144,pepsi cola,Smut,391
145,prosecco,Barracuda,393
145,prosecco,Spritz,393
146,vermouth,Addison,395
146,vermouth,Ziemes Martini Apfelsaft,395
147,zima,Zima Blaster,397
147,zima,Zimadori Zinger,397
148,cinnamon,Apple Pie with A Crust,398
149,chocolate,Chocolate Beverage,401
149,chocolate,Chocolate Drink,401
149,chocolate,Spanish chocolate,401
150,cloves,Gluehwein,404
150,cloves,Mulled Wine,404
150,cloves,Sangria #1,404
151,brown sugar,Spiced Peach Punch,406
151,brown sugar,Tia-Maria,406
152,espresso,Melya,408
152,espresso,Orange Scented Hot Chocolate,408
153,passion fruit juice,Bora Bora,410
153,passion fruit juice,Ipamena,410
154,tea,Amaretto Tea,411
155,absolut kurant,1-900-FUK-MEUP,413
155,absolut kurant,Kurant Tea,413
156,sprite,Absolut Sex,415
156,sprite,Absolut Summertime,415
157,coconut liqueur,Absolut Stress #2,417
157,coconut liqueur,Belgian Blue,417
158,condensed milk,Egg Nog - Healthy,419
